dataset_id,row_count,name,download_url
rmhc-afj9,391530043,DSNY - PlowNYC Data,https://data.cityofnewyork.us/api/views/rmhc-afj9/rows.csv?accessType=DOWNLOAD
wewp-mm3p,102269689,311 Call Center Inquiry,https://data.cityofnewyork.us/api/views/wewp-mm3p/rows.csv?accessType=DOWNLOAD
a9md-ynri,6178555,Civil Service List Certification,https://data.cityofnewyork.us/api/views/a9md-ynri/rows.csv?accessType=DOWNLOAD
y7az-s7wc,4232279,J-51 Exemption and Abatement (Historical),https://data.cityofnewyork.us/api/views/y7az-s7wc/rows.csv?accessType=DOWNLOAD
797j-9xvg,3725986,NYC Historical Vital Records: Index to Digitized Death Certificates,https://data.cityofnewyork.us/api/views/797j-9xvg/rows.csv?accessType=DOWNLOAD
ye3c-m4ga,3237466,Civil List,https://data.cityofnewyork.us/api/views/ye3c-m4ga/rows.csv?accessType=DOWNLOAD
xzj8-i3jk,3034726,Asset Management Parks System (AMPS) – Labor,https://data.cityofnewyork.us/api/views/xzj8-i3jk/rows.csv?accessType=DOWNLOAD
rgyu-ii48,2788792,DOF Property Abatement Detail,https://data.cityofnewyork.us/api/views/rgyu-ii48/rows.csv?accessType=DOWNLOAD
5gq7-rgmv,2614956,NYC Historical Vital Records: Index to Digitized Birth Certificates,https://data.cityofnewyork.us/api/views/5gq7-rgmv/rows.csv?accessType=DOWNLOAD
cspg-yi7g,2403702,Construction Demolition Registrants,https://data.cityofnewyork.us/api/views/cspg-yi7g/rows.csv?accessType=DOWNLOAD
vwpc-kje2,2269204,311 Web Content - Services,https://data.cityofnewyork.us/api/views/vwpc-kje2/rows.csv?accessType=DOWNLOAD
irs3-wn2g,1659294,Vendor List by Commodity,https://data.cityofnewyork.us/api/views/irs3-wn2g/rows.csv?accessType=DOWNLOAD
a8wp-rerh,1168957,Self Hauler Registrants,https://data.cityofnewyork.us/api/views/a8wp-rerh/rows.csv?accessType=DOWNLOAD
5zhs-2jue,1082999,BUILDING,https://data.cityofnewyork.us/api/views/5zhs-2jue/rows.csv?accessType=DOWNLOAD
d8dr-nyhw,1062855,NYC Historical Vital Records: Index to Digitized Marriage Licenses,https://data.cityofnewyork.us/api/views/d8dr-nyhw/rows.csv?accessType=DOWNLOAD
dg92-zbpx,1052564,City Record Online,https://data.cityofnewyork.us/api/views/dg92-zbpx/rows.csv?accessType=DOWNLOAD
mwzb-yiwb,1039025,Expense Budget,https://data.cityofnewyork.us/api/views/mwzb-yiwb/rows.csv?accessType=DOWNLOAD
5hjv-bjbv,947856,New York City Seasonally Adjusted Employment,https://data.cityofnewyork.us/api/views/5hjv-bjbv/rows.csv?accessType=DOWNLOAD
dzvt-6g3v,907238,311 Interpreter Wait Time,https://data.cityofnewyork.us/api/views/dzvt-6g3v/rows.csv?accessType=DOWNLOAD
wavz-fkw8,904161,DOE Building Space Usage,https://data.cityofnewyork.us/api/views/wavz-fkw8/rows.csv?accessType=DOWNLOAD
kw9y-h36n,890984,Asset Management Parks System (AMPS) – Comments,https://data.cityofnewyork.us/api/views/kw9y-h36n/rows.csv?accessType=DOWNLOAD
mg8s-7r2b,872348,Attendance Results 2013-2019,https://data.cityofnewyork.us/api/views/mg8s-7r2b/rows.csv?accessType=DOWNLOAD
